,Birth Rate,CO2 Emissions,Days to Start Business,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound
30,0.04384615384615384,215.36363636363637,12.5,1401955190.3846154,0.08430769230769232,13.23076923076923,0.07307692307692307,0.0,52.15384615384615,49.30769230769231,0.06153846153846154,0.45615384615384613,0.5170769230769231,0.026769230769230767,8126264.153846154,0.09653846153846153,1884615.3846153845
31,0.026307692307692306,2975.4545454545455,95.6,7923123406.846154,0.06053846153846154,33.76923076923077,0.05230769230769231,0.0,70.3076923076923,64.6923076923077,0.3076923076923077,0.35346153846153844,0.6012307692307692,0.04515384615384615,13543653.538461538,0.19315384615384618,1016461538.4615384
32,0.03984615384615385,4621.363636363636,34.0,18040279520.23077,0.049,46.23076923076923,0.07646153846153846,0.015384615384615385,53.69230769230769,51.76923076923077,0.22307692307692306,0.44146153846153846,0.5256153846153846,0.033,18691153.692307692,0.491,233769230.76923078
33,0.011,537911.5454545454,4.0,1245479914437.3076,0.10153846153846155,3825.3846153846152,0.005,0.7,82.6923076923077,78.0,0.5692307692307692,0.1753076923076923,0.6906923076923076,0.13438461538461538,32663980.230769232,0.8035384615384615,16107461538.461538
34,0.014599999999999998,528.0,27.7,17065916293.76923,0.06076923076923077,219.3846153846154,0.020000000000000004,0.575,75.3076923076923,69.0,1.3076923076923077,0.30291626602564103,0.6446538461538462,0.05346153846153846,50004.846153846156,1.0,504250000.0
35,0.03676923076923077,237.9090909090909,22.2,1545240287.2307692,0.04092307692307692,15.307692307692308,0.10792307692307693,0.0,47.61538461538461,44.30769230769231,0.08461538461538462,0.4146923076923077,0.5461538461538462,0.039538461538461536,4053495.076923077,0.3829230769230769,7090909.090909091
36,0.049,360.72727272727275,62.9,6942128945.153846,0.047538461538461536,22.307692307692307,0.09907692307692308,0.0,49.23076923076923,47.53846153846154,0.1,0.49023076923076925,0.4834615384615385,0.02630769230769231,10351910.538461538,0.21838461538461537,20666666.666666668
37,0.015076923076923078,62723.90909090909,22.7,149254399139.84616,0.07046153846153845,621.6153846153846,0.008,0.3538461538461538,81.3076923076923,75.38461538461539,0.7692307692307693,0.24400000000000002,0.6727692307692308,0.0833076923076923,16487324.538461538,0.8763076923076922,1961769230.7692308
38,0.012307692307692308,5673742.090909091,40.2,3615966687132.846,0.048,132.07692307692307,0.019692307692307693,0.16923076923076924,75.38461538461539,72.76923076923077,0.3923076923076923,0.20646153846153847,0.7156153846153845,0.07792307692307691,1309264615.3846154,0.43846153846153846,35368769230.76923
39,0.021,62058.72727272727,32.8,191941282513.3846,0.06215384615384616,273.38461538461536,0.017923076923076924,0.2,76.3076923076923,68.84615384615384,0.5692307692307692,0.3038461538461539,0.643846153846154,0.05238461538461539,43829231.615384616,0.7386923076923076,2035461538.4615386
40,0.03823076923076923,109.72727272727273,22.0,417708701.53846157,0.03969230769230769,26.76923076923077,0.06784615384615385,0.02307692307692308,60.69230769230769,57.84615384615385,0.13999999999999999,0.41746153846153844,0.5526153846153847,0.029923076923076924,619106.0769230769,0.2794615384615385,24916666.666666668
